seller_id,name,domain,seller_type
95,casadistile,casadistile.it,PUBLISHER
100,maximumfilm.it,maximumfilm.it,PUBLISHER
105,MondoCalcioNews,mondocalcionews.it,PUBLISHER
106,Magazine Pragma,magazinepragma.com,PUBLISHER
112,sardalavoro.it,sardalavoro.it,PUBLISHER
113,sportellate.it,sportellate.it,PUBLISHER
120,sarda news,sardanews.it,PUBLISHER
121,Teleblog,teleblog.it,PUBLISHER
127,lopinionista,lopinionista.it,PUBLISHER
128,appianews,appianews.it,PUBLISHER
131,abruzzonews.eu,abruzzonews.eu,PUBLISHER
133,calciomagazine,calciomagazine.net,PUBLISHER
136,Ragnatela News,laragnatelanews.it,PUBLISHER
139,footballnews24.it,footballnews24.it,PUBLISHER
146,ogury.fifaultimateteam.it,ogury.fifaultimateteam.it,PUBLISHER
152,gonews.it,gonews.it,PUBLISHER
153,iMOVIEZmagazine,imoviezmagazine.it,PUBLISHER
154,calcioui,calcioui.eu,PUBLISHER
157,grossetosport.com,grossetosport.com,PUBLISHER
158,chimicamo,chimicamo.org,PUBLISHER
159,tuttoroma24.it,tuttoroma24.it,PUBLISHER
160,tuttointer24.it,tuttointer24.it,PUBLISHER
161,tuttojuve24.it,tuttojuve24.it,PUBLISHER
162,lavorosmart,lavorosmart.it,PUBLISHER
182,BasketMarche,basketmarche.it,PUBLISHER
183,Economy Sicilia,economysicilia.it,PUBLISHER
184,Puglianews24,puglianews24.eu,PUBLISHER
191,EuroCalcioNews,eurocalcionews.com,PUBLISHER
192,Fonte Ufficiale,fonteufficiale.com,PUBLISHER
193,Youtg.Net,youtg.net,PUBLISHER
194,NozamaLab,nozamalab.com,PUBLISHER
196,Calcio Senese,calciosenese.it,PUBLISHER
201,ScuolaInforma,scuolainforma.it,PUBLISHER
203,FraGolosi.it,fragolosi.it,PUBLISHER
204,direecondire,direecondire.it,PUBLISHER
206,gameower,gameower.it,PUBLISHER
207,ildiariometropolitano.it,ildiariometropolitano.it,PUBLISHER
208,Gogo Magazine,gogomagazine.it,PUBLISHER
209,CRONACHE,cronachedellacampania.it,PUBLISHER
213,QuizAmmissione,quizammissione.it,PUBLISHER
215,cinemaitaliano.info,cinemaitaliano.info,PUBLISHER
217,iMOVIEZ,imoviez.it,PUBLISHER
218,howtodofor,howtodofor.com,PUBLISHER
219,Ultima Voce,ultimavoce.it,PUBLISHER
220,Reccom Magazine,reccom.org,PUBLISHER
221,Code tempestose,dokeo.it,PUBLISHER
224,internapoli,internapoli.it,PUBLISHER
225,nuovaresistenza.org,nuovaresistenza.org,PUBLISHER
226,SnapItaly,snapitaly.it,PUBLISHER
227,Be Free,befree365.eu,PUBLISHER
228,Ufo e Alieni,ufoalieni.it,PUBLISHER
229,universo7p,universo7p.it,PUBLISHER
230,Nuovo Universo,nuovouniverso.it,PUBLISHER
231,essere informati ,essere-informati.it,PUBLISHER
232,Whisper Magazine,whispermagazine.it,PUBLISHER
233,giuseppeporro.it,giuseppeporro.it,PUBLISHER
234,teleclubitalia.it,teleclubitalia.it,PUBLISHER
235,dailynews24.it,dailynews24.it,PUBLISHER
237,businesscommunity.it,businesscommunity.it,PUBLISHER
241,Poeti Scrittori,poetiscrittori.it,PUBLISHER
243,Zazoom Social News,zazoom.it,PUBLISHER
245,Zazoom News,news.zazoom.eu,PUBLISHER
246,Zazoom Info,zazoom.info,PUBLISHER
247,Citt? da visitare,citta-da-visitare.it,PUBLISHER
259,Settemuse,settemuse.it,PUBLISHER
260,Cinema,cinema.icrewplay.com,PUBLISHER
261,Anime,anime.icrewplay.com,PUBLISHER
262,Libri,libri.icrewplay.com,PUBLISHER
263,Tech,tech.icrewplay.com,PUBLISHER
264,Arte,arte.icrewplay.com,PUBLISHER
266,iCrewplay.com,icrewplay.com,PUBLISHER
268,fantamagic.it,fantamagic.it,PUBLISHER
269,fantacalciok.com,fantacalciok.com,PUBLISHER
270,fantacalciob.it,fantacalciob.it,PUBLISHER
272,mondospettacolo.com,mondospettacolo.com,PUBLISHER
274,Oltre Tv,oltre.tv,PUBLISHER
275,professionegiustizia,professionegiustizia.it,PUBLISHER
276,Vecchio_MioLegale.it,miolegale.it,PUBLISHER
279,Cassandra Pronostici,cassandrapronostici.com,PUBLISHER
